!TDMS	5230500800400035_calbase_22y4m7d17h33m52s.tdms
!File	IFCalData
!Builder	CalStudio 1.0.1
!Time	2022/4/7 17:45
!Model	054
*IFGainAnalogIFBWGradeSize	1
*IFGainIFGainGradeSize	12
*IFGainTraceNumber	1
*IFGain_Temperature_T0	3362
#IFGain_T0	
-9.0510559	
-5.9922180	
-3.0155640	
0.0000000	
2.9947205	
6.0361633	
9.0201569	
12.0070496	
15.0001984	
18.0027771	
20.9834595	
23.9669495	
*IF1STFrequency		0	0	0	0	0	0	0	0
*IF2NDFrequency		0	0	0	0
*IQSampleRate	125000000
*IF1STBandNumber	1
*IF2NDBandNumber	0
*IF1STRespTraceNumber	1
*IF2NDRespTraceNumber	0
*IF1ST_Temperature_T0B0	3356
*BandPoints	2048
#IF1ST_T0B0	
1.0006336	
1.0004749	
1.0003164	
1.0001578	
1.0000000	
1.0001234	
1.0002468	
1.0003703	
1.0004938	
1.0006199	
1.0007460	
1.0008721	
1.0009984	
1.0011712	
1.0013441	
1.0015168	
1.0016900	
1.0019597	
1.0022295	
1.0024993	
1.0027696	
1.0031604	
1.0035512	
1.0039423	
1.0043334	
1.0047212	
1.0051091	
1.0054972	
1.0058857	
1.0063727	
1.0068598	
1.0073472	
1.0078350	
1.0083548	
1.0088748	
1.0093951	
1.0099159	
1.0105264	
1.0111372	
1.0117486	
1.0123602	
1.0130212	
1.0136825	
1.0143443	
1.0150065	
1.0156946	
1.0163832	
1.0170722	
1.0177618	
1.0185305	
1.0192997	
1.0200696	
1.0208400	
1.0216492	
1.0224589	
1.0232693	
1.0240805	
1.0249295	
1.0257792	
1.0266298	
1.0274811	
1.0283998	
1.0293194	
1.0302397	
1.0311610	
1.0321102	
1.0330602	
1.0340111	
1.0349631	
1.0359645	
1.0369669	
1.0379702	
1.0389745	
1.0399990	
1.0410244	
1.0420510	
1.0430785	
1.0441529	
1.0452284	
1.0463048	
1.0473825	
1.0484295	
1.0494776	
1.0505266	
1.0515770	
1.0527054	
1.0538350	
1.0549659	
1.0560979	
1.0572246	
1.0583526	
1.0594817	
1.0606121	
1.0617377	
1.0628643	
1.0639923	
1.0651214	
1.0662785	
1.0674367	
1.0685962	
1.0697571	
1.0709652	
1.0721747	
1.0733856	
1.0745977	
1.0757843	
1.0769724	
1.0781616	
1.0793523	
1.0805635	
1.0817763	
1.0829904	
1.0842057	
1.0853978	
1.0865911	
1.0877858	
1.0889819	
1.0902338	
1.0914871	
1.0927418	
1.0939977	
1.0951779	
1.0963594	
1.0975422	
1.0987262	
1.0999404	
1.1011561	
1.1023730	
1.1035912	
1.1047574	
1.1059250	
1.1070937	
1.1082636	
1.1094280	
1.1105937	
1.1117605	
1.1129284	
1.1140380	
1.1151487	
1.1162604	
1.1173735	
1.1185288	
1.1196853	
1.1208429	
1.1220016	
1.1230912	
1.1241817	
1.1252735	
1.1263661	
1.1274475	
1.1285299	
1.1296134	
1.1306977	
1.1317058	
1.1327146	
1.1337245	
1.1347353	
1.1357803	
1.1368264	
1.1378733	
1.1389210	
1.1399109	
1.1409016	
1.1418931	
1.1428856	
1.1439044	
1.1449243	
1.1459450	
1.1469661	
1.1478444	
1.1487235	
1.1496031	
1.1504835	
1.1513671	
1.1522514	
1.1531363	
1.1540217	
1.1548827	
1.1557442	
1.1566064	
1.1574689	
1.1582235	
1.1589787	
1.1597342	
1.1604904	
1.1612633	
1.1620368	
1.1628107	
1.1635849	
1.1642925	
1.1650004	
1.1657087	
1.1664174	
1.1670859	
1.1677550	
1.1684245	
1.1690941	
1.1696910	
1.1702880	
1.1708854	
1.1714829	
1.1720238	
1.1725649	
1.1731062	
1.1736478	
1.1741602	
1.1746730	
1.1751858	
1.1756988	
1.1761580	
1.1766173	
1.1770767	
1.1775362	
1.1779552	
1.1783743	
1.1787935	
1.1792128	
1.1795479	
1.1798831	
1.1802185	
1.1805537	
1.1808321	
1.1811106	
1.1813892	
1.1816677	
1.1818997	
1.1821318	
1.1823639	
1.1825957	
1.1827579	
1.1829199	
1.1830820	
1.1832441	
1.1833880	
1.1835320	
1.1836760	
1.1838197	
1.1838701	
1.1839205	
1.1839710	
1.1840214	
1.1840588	
1.1840963	
1.1841338	
1.1841707	
1.1840776	
1.1839845	
1.1838915	
1.1837983	
1.1836877	
1.1835769	
1.1834662	
1.1833553	
1.1832099	
1.1830643	
1.1829189	
1.1827732	
1.1825520	
